LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013488,Derby 022A,Derby,721,7,7,1,10,4,13,10,7,8,11,12,6,12,9,10,3,6,4,14,6,13,9,6,8,7,8,6,9,10,11,5,7,7,6,8,10,13,11,9,13,6,12,13,7,9,11,9,9,9,10,9,9,9,12,12,7,8,8,6,11,13,11,10,14,6,6,5,7,6,5,9,10,12,8,5,11,3,12,6,5,5,5,1,4,6,4,4,0,0,4,2
E06000015,Derby,E01013489,Derby 022B,Derby,710,6,9,4,3,8,12,9,6,8,6,4,7,8,5,9,6,5,10,16,6,5,9,11,2,3,4,10,3,5,7,9,11,10,8,9,9,10,18,6,10,9,12,8,11,7,9,9,5,11,4,10,11,4,11,5,10,11,14,8,9,11,13,10,7,10,6,7,10,10,11,15,4,16,4,7,11,6,9,9,2,6,4,9,13,1,4,2,1,1,4,3
E06000015,Derby,E01013490,Derby 022C,Derby,739,9,7,10,12,3,10,11,10,10,17,8,6,6,7,15,11,8,5,9,5,8,4,7,8,4,6,11,6,10,4,6,8,8,6,11,2,10,9,8,8,8,11,10,9,10,8,10,11,16,8,5,7,10,5,3,9,17,10,7,18,7,8,10,9,10,8,8,9,12,7,10,6,13,10,7,9,6,5,1,4,4,2,7,1,6,8,12,4,2,10,9
E06000015,Derby,E01013491,Derby 022D,Derby,853,7,12,10,15,11,8,13,10,13,16,22,11,15,14,14,7,14,15,13,9,13,14,9,8,10,10,7,18,8,7,4,8,9,7,9,8,10,8,13,12,15,16,16,9,12,12,12,18,5,16,6,12,15,6,7,13,17,16,11,12,9,8,12,3,10,9,3,9,9,5,7,4,6,3,5,6,10,2,4,5,4,9,4,2,2,4,2,2,1,0,7
E06000015,Derby,E01013492,Derby 027A,Derby,829,10,16,5,8,9,14,14,15,13,12,9,11,6,9,13,9,14,10,11,11,16,10,9,15,13,10,7,8,11,11,5,5,9,11,13,9,2,10,4,10,14,10,13,7,7,6,6,12,8,13,9,10,12,10,10,11,12,10,10,11,15,10,19,6,10,5,3,2,12,8,6,5,5,6,11,8,11,5,6,2,2,3,4,7,4,2,7,6,10,4,17
E06000015,Derby,E01013493,Derby 027B,Derby,797,11,9,14,4,8,11,8,20,8,8,12,8,9,7,11,6,7,4,6,7,7,4,11,11,7,9,10,9,7,6,20,13,15,16,12,5,13,10,10,15,5,13,6,10,6,10,14,10,12,9,7,9,8,6,11,9,10,12,11,9,9,13,9,13,12,10,9,10,9,7,5,10,6,1,4,12,8,4,9,6,6,3,3,7,8,2,8,3,2,4,10
E06000015,Derby,E01013494,Derby 027C,Derby,897,23,6,9,11,10,16,11,19,18,15,13,21,17,17,12,12,10,10,4,14,16,7,4,11,14,10,15,14,12,8,18,11,12,12,12,16,5,8,12,13,7,12,10,10,12,11,9,8,11,7,16,13,8,8,12,10,6,10,12,9,14,14,4,9,5,4,7,7,3,3,6,5,9,12,4,5,6,4,11,4,4,6,1,6,5,4,8,13,7,4,4
E06000015,Derby,E01013495,Derby 027D,Derby,916,16,14,17,18,10,16,18,13,10,13,17,8,14,11,12,11,14,14,17,10,5,9,10,4,6,13,11,15,16,14,13,17,13,11,8,13,10,16,9,14,10,8,10,10,12,11,11,10,12,13,13,16,10,13,9,6,9,7,9,13,11,18,8,16,19,8,6,7,10,12,10,7,7,1,5,7,9,4,9,7,0,1,2,1,3,4,2,3,1,2,4
E06000015,Derby,E01013496,Derby 028A,Derby,663,13,13,7,9,12,11,11,18,7,8,10,12,10,6,11,9,12,8,14,11,9,6,6,9,6,5,3,9,5,7,12,11,10,7,8,12,4,10,6,10,6,7,7,5,8,7,7,12,4,9,5,7,8,11,12,10,13,11,9,9,9,5,6,6,4,6,6,0,2,5,8,4,7,5,3,10,10,14,9,4,0,0,0,1,0,1,2,1,0,0,1
E06000015,Derby,E01013497,Derby 026B,Derby,826,15,5,15,19,14,8,9,7,8,13,25,11,14,12,14,20,12,18,11,17,20,14,13,11,9,4,8,10,9,10,8,18,17,5,9,7,9,10,14,11,13,18,16,9,8,16,15,14,17,5,7,11,9,9,7,10,4,12,8,12,7,5,9,8,11,6,4,5,6,9,7,0,6,5,5,8,5,3,2,3,0,1,1,1,1,0,4,1,0,0,0
