LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013495,Derby 027D,Derby,"1,922",32,22,37,32,24,27,32,25,20,30,27,23,24,24,18,23,18,26,27,17,20,21,21,18,16,33,25,23,25,30,22,29,28,25,22,20,23,36,23,36,23,18,26,26,24,21,22,22,23,24,32,29,22,29,21,20,21,17,21,33,28,36,13,27,33,18,19,17,18,17,18,13,16,4,10,17,16,12,14,11,4,8,7,7,9,12,6,10,6,7,11
E06000015,Derby,E01013496,Derby 028A,Derby,"1,473",19,23,15,18,29,16,18,29,17,18,16,26,17,16,21,20,23,20,26,18,17,15,19,19,14,10,14,16,17,15,23,23,20,22,20,29,10,18,17,23,23,16,16,19,13,13,18,20,7,17,17,22,23,19,28,19,29,22,21,18,16,12,15,20,8,22,15,11,12,10,17,13,23,17,9,15,19,20,12,12,3,4,1,4,1,3,3,3,1,1,5
E06000015,Derby,E01013497,Derby 026B,Derby,"1,798",28,13,30,29,23,28,31,19,36,33,37,22,30,25,32,40,19,40,24,28,39,25,27,24,21,11,16,24,21,20,22,30,23,16,20,22,21,18,22,28,23,51,37,35,32,22,23,24,28,16,17,21,17,24,19,18,17,23,17,24,11,15,23,18,19,18,11,11,15,18,15,6,9,14,11,11,10,5,5,8,5,4,6,1,7,0,4,5,0,0,8
E06000015,Derby,E01013498,Derby 028B,Derby,"1,469",18,23,6,23,12,16,22,12,23,14,25,10,16,23,11,11,13,11,13,19,18,18,15,10,20,7,12,11,19,17,21,24,25,34,23,19,19,18,20,15,15,18,9,9,14,12,17,16,20,21,29,27,13,23,21,21,19,18,27,21,11,16,16,17,14,20,12,20,18,11,7,7,16,16,23,17,18,14,16,11,26,14,7,8,13,9,7,4,3,4,18
E06000015,Derby,E01013499,Derby 028C,Derby,"1,534",12,18,14,19,23,15,16,15,12,26,25,17,28,21,9,14,17,30,24,18,25,18,17,25,15,25,13,13,17,16,34,18,22,23,30,21,30,19,18,21,18,17,31,15,12,18,12,16,11,12,18,20,19,21,16,19,19,21,22,34,19,18,19,17,15,18,23,19,15,18,10,15,9,11,15,12,13,9,12,10,4,3,11,9,13,6,5,7,2,1,12
E06000015,Derby,E01013500,Derby 028D,Derby,"1,685",16,17,11,10,10,24,24,21,21,16,21,13,16,18,17,20,28,22,16,20,16,9,11,6,10,16,18,20,20,23,26,25,29,21,27,21,16,16,18,19,24,19,11,28,17,13,16,19,11,19,22,14,29,31,24,24,22,28,23,19,22,25,17,19,21,13,27,20,23,13,17,12,15,13,20,20,32,24,21,23,22,14,20,11,18,12,12,14,2,6,16
E06000015,Derby,E01013501,Derby 028E,Derby,"1,487",19,13,13,25,12,16,10,17,14,14,17,21,23,12,10,21,14,20,12,2,12,21,18,14,11,13,21,14,14,22,18,25,16,10,15,16,14,16,15,20,23,14,12,11,10,15,14,11,20,14,19,14,8,26,25,23,29,24,21,29,34,20,21,15,19,12,18,17,13,12,13,18,20,23,27,31,14,19,27,18,16,11,13,12,7,7,2,6,10,3,17
E06000015,Derby,E01013502,Derby 025E,Derby,"1,508",21,18,20,24,30,21,27,22,24,18,17,19,20,18,28,15,19,13,17,14,27,16,13,13,10,17,22,15,12,16,19,23,15,23,21,21,17,30,24,13,17,31,28,20,21,20,15,20,25,26,25,23,24,26,20,19,21,21,21,20,24,15,20,20,10,8,11,12,16,13,12,10,9,11,13,7,4,9,8,3,8,4,9,5,4,3,9,3,3,3,7
E06000015,Derby,E01013503,Derby 025F,Derby,"1,559",19,26,32,28,23,15,17,18,17,23,23,19,16,15,16,18,15,17,16,19,16,17,10,9,13,15,13,24,20,35,19,32,36,22,36,25,18,29,35,23,27,21,17,22,9,13,17,19,19,13,16,17,17,22,26,28,21,23,26,19,21,17,17,14,15,25,13,15,18,14,12,10,10,14,17,16,6,8,5,8,7,13,6,5,7,2,3,1,1,0,8
E06000015,Derby,E01013504,Derby 026C,Derby,"1,907",36,23,31,21,23,34,30,41,25,38,44,49,41,39,38,31,31,25,47,28,26,16,24,9,21,20,17,19,17,16,39,31,30,31,41,35,28,24,30,21,28,26,23,27,27,22,27,24,24,28,24,17,26,29,16,22,15,21,22,21,20,17,19,13,21,10,19,11,15,14,9,6,5,12,9,7,12,7,4,5,7,6,3,3,4,2,1,3,1,0,3
E06000015,Derby,E01013505,Derby 006A,Derby,"1,490",12,24,13,13,16,13,17,9,15,11,15,24,18,24,16,26,23,13,15,23,15,22,25,11,13,7,16,12,17,19,28,36,22,12,18,20,20,18,14,19,19,21,12,17,18,15,18,24,20,22,25,20,16,25,24,23,23,21,22,28,20,21,20,22,19,21,13,15,24,13,11,18,19,14,8,13,10,16,13,7,7,4,2,3,4,5,0,9,7,4,11
